名称,地区,经度,维度,总价/万,单价/元,规格,大小/平方米,朝向,装修,楼层,楼层样式,关注人数
海景国际花园-星域,赤山水库,120.364772778008,22.6197224774186,288,22170,3室1厅,129,南北,精装,低楼层(共28层),板塔结合,470
宝龙金色家园,晋江万达,121.754290727051,31.1869986452953,30,6907,1室1厅,43,南,精装,高楼层(共13层),板楼,150
鲤景湾三期滨苑,浮桥,120.643031475589,31.2885421224929,37,8903,2室1厅,41,南,毛坯,低楼层(共27层),塔楼,350
海丝景城,泉州桥南,116.723524646933,23.3777757806284,105,15703,2室1厅,66,东南,简装,低楼层(共17层),板塔结合,90
中航城阿尔法,宝龙广场,119.304814691719,26.0783995148112,26.9,8120,1室0厅,33,南,简装,中楼层(共27层),塔楼,150
海丝景城,泉州桥南,113.31646330983,23.1169351951808,98,15987,2室1厅,61,南,精装,中楼层(共26层),板塔结合,190
辉映江山二期,展览城,118.609174720279,24.9063194507623,132,15921,2室2厅,82,南北,精装,低楼层(共31层),板楼,1070
长洲花园,万达,118.759565092484,34.5479186273643,165,19207,2室2厅,85,东北,简装,高楼层(共9层),板楼,70
泉州中骏商城,南环路,118.608694216662,24.9172905046305,27.8,6781,1室1厅,41,北,简装,低楼层(共28层),塔楼,70
崎山聚兴小区一区,宝龙广场,118.600523768729,24.8760696155666,94.5,12717,2室2厅,74,南,简装,低楼层(共18层),板塔结合,330
恒大翡翠华庭,洛江区,118.677823856143,24.9554296200202,126,11971,3室2厅,105,南,毛坯,高楼层(共10层),板楼,130
泉州碧桂园光明城,东湖,118.613388222273,24.9114253996618,165.8,13422,3室2厅,123,南,毛坯,中楼层(共10层),板塔结合,630
百江明珠,石狮中心,118.677823856143,24.9554296200202,40,7178,1室1厅,55,南,精装,中楼层(共18层),暂无数据,150
力标吉源雅苑,洛江区,118.614561588929,24.8877652462785,132,16900,3室2厅,78,东南,精装,中楼层(共33层),板楼,210
双水湾小区,晋江万达,118.608699965817,24.9013039916588,126,13446,2室2厅,93,南,简装,中楼层(共31层),板楼,90
百信御江帝景二期,泉州桥南,118.759565092484,34.5479186273643,91,13788,3室2厅,66,西南,毛坯,低楼层(共19层),板塔结合,530
百捷中央公园华府,泉州桥南,116.723524646933,23.3777757806284,275,20451,4室2厅,134,东南,毛坯,高楼层(共32层),板塔结合,50
东海湾御花园,东海,113.345410396404,23.0387328856469,92,23669,1室1厅,38,北,精装,高楼层(共33层),板楼,50
中航城阿尔法,宝龙广场,119.265609315546,25.9600474491194,36.8,8857,1室1厅,41,东,精装,高楼层(共27层),塔楼,170
百捷中央名门,泉州桥南,121.497360798648,31.6823472261387,195,22404,3室2厅,87,南,毛坯,中楼层(共32层),塔楼,110
